text,target
Indupenekuttiye makan premichu konduvannapol mamodisa mukkiyanne pc akathu kettu kayullu ennhe parnghu ennakkariyam endanne Mone ... ???,Negative
Pc..poliyannu👍👍👍👌👌,Positive
Patti poorimone 😡😡😡😡😡😡😡😡😡😡😡😡,Negative
BJP yilekk pokanulla orukkamanalle,Neutral
Nanam ketta nari,Negative
Namaste sir,Positive
PC Ninne polulla visham thuppunna yethra chanakam vannalum keralathill ninte Vargheeyatha nadakkilla 🖕🖕,Negative
Ninakktalakvattanu,Negative
OC GEORGE vere valla thadiyanangunna panik poyi thante kuda vayar kurakk. Durantham verum duranthamalla. Pakka waste of an era,Negative
njngal aarum thupparilla food undakki kazhinjal... Pinne ath oothal aanu thuppal alla,Neutral
Pakisthan afghanistan mathramanallo parayunath? Bakki kure coutries samadhanathode pokunnundallo. Ath iyaal kanunnille theettam theeni PC,Negative
Ninakk poonchatilek povam,Negative
iyaalku ee wargeeyadha alladhe were onnum prasagikaan ariyille,Positive
Pullik kurachunaalayyi vayyyaaaa 😂🤣😂🤣 bjp hospialil ayirunnu chikilsa chikilsa pizhavu mooolam Rogam moorchichu 😂🤣😂😝😝🤣 enipooooo kuthiravattathekk 😜😜😜😜😜😜😜😜😜😜,Neutral
Paramartham,Positive
Para. Puliyaadichitte. Mone,Negative
Adaaaa. PC. Jorje. Nintte. Ammentte. Pooor. Naaayinttee. Mone,Negative
"Manushyare thamil thamil thettikkunna vruthikketta manushyan,tippune patti oru thengayum ariyathe ninne prasangikkunnu ....chi....",Negative
Ithu thantedavum sathym parachilum allaaaa uluppillaaannnu parayum,Negative
Dey PC kristhyaniyum onnaaado mathagramthamaya baibili chennu nokku ningal vanna praaavashakanaya yeesa athaayathu yesuvine araaadiykkinnu muslingal yeshuvineyum ningaleyum mattu ellaaa sarva charaacharangaleyum srishticha daivathe aaaraadhiykkumnu muslingale ellaaaa mathangangaleyum bahumaaniykaaananu paranjittullathu.oru mathangaleyum nindhiykan padipochilla.manassilaaayo.nammalelllaverum red blood ulla manushyar thanneyaa oru chukkum aaarkum cheyyaam kazhiyillaaa.ethra Arab rajyangal ellaperkum ജോലി thannu avarude kudumpangal kazhiyunnu naaanamilleeeeeee,Positive
Samsaram athirukadakkunnu aadhyam vendath nallareethiyil chindhikkanulla kazhivanu manushyanu ...kashttam👎,Neutral
Evanuuu ethrayaa thandaaaa😅😅😅kanunnaddd muzhuvanum evanikk thandayaaaa😅😅bladyyy foolsssssss,Negative
Vargeeyavadiyannuuuu😅😅😅😅,Negative
Ithe Kerala mane pc…. Kadaparachil vargiyatha nadakkilla…,Neutral
PC uyirr,Positive
Iniyenkilum manasilakkanam ororutharum,Positive
Sathyamaayskaaryam.,Positive
"P c George paranjathil enthaanu thett?,",Positive
Vargheeyatha parayunnavar orkkuka ithu keralam aanu,Positive
Oru pradeshstthe kaaryam mathram aanu pc paranjathu.,Positive
Pulli paranjathu sathyamalle?,Positive
p c george parama arapplle,Negative
Adipoli pc fan 😘😘😘,Positive
Naayinte panneede porkinte mon,Negative
Bakkiyellam yojikunundo kollam 👍👍👍👍,Positive
"Quran and islam iyalk ariyuo? Such a nonsense. Poyi vaayik adyam. Ennit va, bullshit coment",Negative
Ni ethada poooo mone Mathathine snehikathe manushane snehikk…appom anasilavum,Negative
Ithil aake njan yogikuna oru karyam temple il ulla govt nte adhikaram enthinu enna chodyam aanu.. Daivathe vishvasam illatha communist nu enthinu kshetrathil ithra avakasham!?? Angane oru avakasham undengil enthu kondu athu church and mosque il illa!!,Neutral
P c parajathu gd,Positive
enthade vaanam,Negative
Adyum kaka terumanikanum,Neutral
Charithram sherik ariyathe enthelum vilichu parayunna thanok enthu rashtriyakarananu 😏😏😏,Negative
Kerala simham abhivadyangal❤❤❤❤,Positive
🤣🤣🤣🤣🤣kaduva,Positive
Thotathinte chorichila aadhyam manushyanavado ennitt sahajeevikale snshikk ennittalle matham eeth mathakkaranayalum ingane chila ha votalla thangakittum keralathil athukonda 0 aayi poyath matham manassinte ullil vekk Ellavareyusnahich sahayam cheyth jeevikkado ninakkonnum hindunn pareyanulla yogyadhayilla Indiakkaraa ellamm ath manassilakk maths thinte kanakkedukkunnu thuffff......,Neutral
Pooda,Negative
Ende orukaazchappadil iyaal endho muslimsinood oru bhayam poole bakiyullavarude mindil create cheyyunnu...athalle ee 4 makkale aakanam elle avar indiayee PIDICHEDUKKUM ..ennokke parayanee...samoohathil uyarnn nilkunna oraalude vaayil ninn thanne ith keelkeendi vannallo....ith oru democratic country aahnennekilum aarenkil onnum ayaalkk paranj kodkku....kashtam,Neutral
Appo ividathe hundukkal uaeyilum omanilum okke joli chryyandalla. Avarodekke onn choich nokk,Neutral
Pineeeeeeeee,Neutral
Hindukkalkku vendi samsarichathalle. Oru chanaka seat kodukku,Negative
Avastha onn paranju kodukk chaanagam.... Elllarum ariyatte,Negative
Sathyamaaya karyam aanu p. C sir parayunnathu👍👍👍👍jai hindusthan👍❤️💙👍❤️💙🙏🙏🙏🙏,Positive
PC Neeyann valiya thet Ontaru mattedthe speech👎,Negative
Nint ammyude pooor,Negative
ninte ammyude poor tharumoo,Negative
Ninte ammekk poor ille 😂,Negative
Iyaaal paranjathil korchokke karyam indd,Positive
COMMIE BIJYAN EE VIDEO KANDU KALIPPILANU…,Neutral
evante monhindupennine Adichond poyathum e..panikkano,Negative
Ith kett nale thott lulu mall bahishkarikkunna kri sangi and sangi....business thakarnn naad vidunna yoosufali...🤣🤣😂😂Chirichu chathu...,Neutral
Veena molk leasham aaaakrantham und ath aenthayalum kaaakaaane kond maaataan patilla veena mol America yilek oru paad thavana poyitund,Negative
onn poda sudu,Negative
"Saayippu samsakam ethu alla ketto..athu swantham vellam koode kondupokuka enaathanu,ariyillenkil paranhu tharunnu",Neutral
Pood naayinte moone,Negative
Po thalle,Negative
Pode erangi,Negative
Thanneeeeee,Neutral
athinu oru Karanam und....nalle India k oru preshnam vannal oro hinduvum oro christianiyium rajyathinu vendi poradum ...pakshe oru muslim ath pole poraduvo..poradiyal Avan muslim avuvo...agane poradarut enn ale ningal viswasikunat... Theliv veno?  Ith viswasikatavar muslim alalo...apo pine hindukal chirichathil entha thett??,Negative
"PC George paranj karyangal nerthayum vere aalkar paranjit ondallo,sathyam alle paranje ,pullide imaginationl invent chayd parayanad allalo .",Positive
Evidea chappan kittunna avidea chappum Brittishukarkku jay vilicha vargam anu........,Negative
Yedhaarrtha dheyvamo ?!,Neutral
Ni mandan,Negative
Pc George 👏👏👏👏👏👏👏👏👏👏Bharatham hindukkalude thanneyanue... Hindukkal snehathode musalmaneyum christhavaneyum sweekarichsthanue.. Aaa oru ormma ivarkkundakanam...,Positive
Ayoooo ormipichath nannayiii 😂😂,Positive
...onn podoo.. Ithu Keralamm aanu.. Ithu polulla vargeeya vishangal ivide chief minister okke aavunnath thanne polullavar swapnathil kandaa mathii...,Positive
Afu eppo mammunjine kayum velayondu nayakuu😂😂😂😂,Negative
Podaa naye,Negative
"Hinduism nannayipadichuechrikkunnu, sudha Ravanan.",Neutral
Santhosham,Positive
Iyale verum nilath thooran iruthuka oru kai sahayam illathe ee nari enitt ponath kananam..,Negative
Suendran kurach hansum thirummi kundil vachu koduthu..,Negative
Ivante ayalkaranil undaya makan jagathiyude mole adichondu poyatho,Negative
Poda pulle PC George. Ninte thantha vicharicha polum hindusineyum muslimsineyum thammil adippikkaan kazhiyilla. Athaanu keraleeyar,Negative
IDHEHAM UMMAN CHANDIYODU ONNUM PARANJITTILLA,Neutral
Naayite mone koth,Negative
Swantham makan kalyanam kayikkan vendi oru penkuttiye premichappol maamodisa mukkiyaale kayattu ennu paranja vekthiyaa ivde vannu love jihad um pinne puthiye lulu jihad um parayunnath ith poleyulla naarikale oru stage le polum kayattaruth ath muslim aayalum hindu aayalum cristian aayalum,Negative
Vivara doshi,Negative
Poyi pani nokada fool,Negative
Nasraniiiiiiiiiiiiiiiiiiiiiii,Neutral
adipoli speech aanu. but ee hindukalude karyan parayumbol avide jaathi kuthi kayatti ippozuum samsarikunathu moshamaanu. sc st ayaalum ezhava aayaalum ellaavarum hindus thanne aanu.,Neutral
Eyalk pani pidich parayunnata etokke prasangam kelkunnavarkkallam vattanmar,Negative
Ith njagade mathathinte karimanne. Ne idapedada,Neutral
Ivde oru muslimgalum Oru madhathineyum ingne paranitt illa Angne parayugayum illa Ealavarum manashyar Ahaan Ipo prasagikyune iyal Enthaklum Asugam vann hospital Aaya hindu Madham ollavar Mathram chikilsichal madhi enn parayumo Iyale poole olle Janagale thammil thallikyune Aalkare veanam thookil eatendath,Neutral
India il vargiyatha prolsahipikathe ellaru ellarem snehikan ann padipikendath.,Positive
Eyalk ithenthinte sookedaa.. Madham paranju manushyane thallikkunna...... 😡. Iyale naatil Iyaal thottathin kurupottiyathaa...,Negative
da nari pc ninte thantha yude vaka alla india,Negative
RAJYA SNEHAM AVANTE OKKE  SHOE NAKKIKAL AANU PARAYUNNATH PC GEOGRGE ENNA EE PARA NAARIYE AANU ADHYAM EE NATTINN ADICHU PURATHAKKENDATH,Negative
"Palathanthaku piranavan pc...,christiansinte stagil Poyal hindukaleyum...,muslim stagil poyal hinduvineyum...,hindusinte stageil poyal avan muslimsneyum thazhthi parayuna...parama naari...,",Negative
Crisangi,Negative
Pc polichaduki,Positive
nee ethu lokatha jeevikunthu,Neutral
Iyal Christian onnum alla...apamanamanu,Neutral
Poda myre😅,Negative
Enthina ingane matha vargiyatha ellavarum onalle,Positive
Chanakam athra mati over decoration onnum venda 😂,Negative
"Kuthithirupp at its peak, ith keralathil irakkunna naaya",Negative
Chettta,Negative
kurachu methachi pennungale engu kondu pore ondaki tharam😂😂😂,Negative
Copanu,Negative
nenakum pillere ondaki therum😂😂😂,Negative
"Eda pc amuslim pennungalku Pani eduth koduth nee janasangia vardhipikkuuu,,,,,naaye",Negative
pully pole eraghum nokikko😅,Positive
Pc yude kuru pottikkan tvm lek kond poyitund 😝,Negative
Athinullaa Oscar ipo kittiyaloooo 😂😂,Neutral
Athu maathramalla ini gulfil Muslim Mathi joliku sajiyude achanum sajioke gulfilale joli,Neutral
"PADHUKKE PARAYADA,,,, SDPI KELKUM.",Neutral
lol. Ithokke poyi chinayilum usayilum poyi paranju nokku. Thalli odikkum.,Neutral
Enn Sudappi opp.,Neutral
Country' ennath oru modern concept aan. Athinte boundary nammal tanne alle varakkunnath.,Neutral
Muslim league vacha prasthavana ye thudarnnu aanh pak um bangladeshum undaaye ... athoru islamic country aanu... cheriya minorities aanu hindus avide... but here ithoru secular country aanu... ivide ee vaga visham parayunna ethoru hindu ayikotte Christian ayikotte Muslim ayikotte... athinnullath koduthirikum !!!,Neutral
athe shariyanu... vargeeyatha parayunnavare aduppikkarudh... ath thanne njnum sramicholu enik sahichilla ayaal why Indians created india ennu chodichappo oru prasaktiyillatha karyangal ayaal vilichodhiyath... oru indian enna nilak I can't tolerate that question!! History ariyaatha etrayo INDIANS nammude idak und... ithokke kelkumbolaanu ... Innu india yil ninnu indiaye thalli parayunna kootar und... hindu ayaalum muslim ayaalum... I always prefer my country to my religion!,Neutral
ath thanne... india endh ennum india endhinu enna chodyathinu prasakthi illa...randum same thanne ... thaangal endhaanu kuttye pole samsarikane 😆😆🤣🤣,Neutral
"nilkkunna rajyathod snehavum bahumanavum ullathu kond thanneyaanu veshappattikal vesham cheettumbol njan onnum parayathe nilkkunnath kaaaranam avar hindu, muslim allenkil christian aalukalude peru upayogich vargheeyatha parayumbol prethikarikkunnath. Ellathilum kaanum ithupolothe keedangal. Backiyulla nallavaraya suhurthukkalude manavum vilayum kalayan.",Neutral
njan athonnum chothichilla ningal paranjath thettanu artham ennanu paranjathu,Neutral
"edo moind varthamanam parayathe do... indian subcontinent pande ullatha... ee pakistan , bangladesh okke muslim league nte separate islamic country venamennulla vaashi kaaranam undayathaanu!!! India end allenkil Indian endinh ennu chodikaan naanamilledo... nikunna rajyathod bahumanam kaanik!!! ",Neutral
india yil ninnu india endhu ennu chodikunno ?? 🤣,Neutral
"njan Yousuf Sir alla, pakshe ennekondu pattunnath pole pallikalkkum jeevakarunya pravarthanangalkkum nalkarund. vilichu parayarilla...",Neutral
yusuf Ali ye kurich paranjath moshamayi poyi. .adheham naloru manushyananu.✌️dream aryillalley nirdhanaraya pavangaley pottunna sthalam.,Neutral
Khana ennu vechal Orphanages aanu. Ithokke kondaanu ninnayokke Sankhi ennu vilikunne 😂,Neutral
" Athilum valya item alle ipo ivide chilar cheyyunne, pashunte peril.",Neutral
kk Mattu religions kurich parayunna usthadumare arrest cheyyo ?,Neutral
"oo, etra sadaranakar aaya muslimgal Mattu religionsine nallatallata reetiyil parayunnu? Ennit avarde peril case edutto?",Neutral
oho athu shari than mathram ketitilalo,Neutral
ennalum aa tuppalanu sahickan pattathathu,Negative
athane...✌💪,Neutral
neeyeppola mootrathod chernnath?😂😸,Negative
pentacos christian nilakku nirthan mattulla christian sradhichal nallathu,Neutral
onnu thottu nokkeda... Chumma vachakam adickathe...,Negative
avan shariyath kodathiya maatrama angeekarikathollu,Neutral
Eppol PC enthu parayunnu Ennu Clear ayittu kelkku.,Neutral
kittatha munthiri pulickum,Neutral
Enna vaa cheyyaan,Neutral
sherikkum sangikal..enu..vecha..hindutuva ideology establish cheyan support cheyunnavar ano..atho..njammade..mathkkaru..kanikkuna..vargeeythku..ethiru paryunavr ano..? Ethengilum onnu urappiku,Neutral
iyale idenda samayam kazhinju....penkuttikale polum mosamayi samsarikkunna ivane MENTAL HOSPITAL il idanam...💯💯💯💯💯💯💯💯,Negative
edo ee pc George ne pole oru vrithikettavan kerala politics ill ithh varey undaayitillaa enn aarkkkaanu ariyaathaath.. Thani onth iinte swabhaavam...,Negative
mate madhkaar kutum cheyunadvum but madhethinta peril kutum cheyunavaryane peedikandathe especially aarane enne njn parayandalo,Neutral
niglkum Ninglude Samudayathyinum Thonnundagum,Neutral
Innale Iyaal paccha vargeeyatha paranjath anu. Yusuf ali Malappuram th mall ittilla Yusuf ali kk Hindu kalude panam aan vendath. Ennoke aanu vechu kaachiyath,Neutral
allada kunayal kurisu mathram mathi,Neutral
eyalke Muslimgalode nala rosham indele ? ninhe Aara jeevikan anuvadikathe para,Neutral
athe mattullavarude annam muttichatt,Negative
"Vaal Keran ulla bodyo? Atenda ? Vakukal sookshich , PC de peril vannapole viduesha prasangathinu arde perilum case kodukam. All are equal , ellarum orupoleyalle",Negative
athe allel Ooopi ayene😅😅,Negative
thalli kollan iyal jihadi onnum allallo,Negative
ivide partyklar allatha bodham ulla alukal unadllo. Matte thulli marunn itt alukale vadhyamkarikkan pon ennokke kelkkumbo😂 Gerogin pande uluppilla. apo pinne enthlum akatte.,Neutral
Enikk mathram thonniya kondanallo pokki akath ittath. Iyal ella partyilum poyi last naanam kett BJPyil keran vendi kalikkunna ee kali aekka ariyathe. Aa valla nagaland governer vallom akan pattiyal akatte. Ee nattile shalyam marumallo,Neutral
Ennu ningalkk mathram thonniya porallo,Neutral
enthalle avstha.. Enthu chythalum 2 manikur kond jamyam kittunna rajyamayi mari India... Itheganum valla arab countries aanel avide pc nte sunnamani kanoola,Neutral
adhilum velyaa endhe item aane cheyunadhe,Neutral
Aaa ha aaaha pallu thechu kulich maatti escortodu koodi njaan poi vannu ithre undddayullu athinaaaith maaathyama thenddikal.......allle annnaa ....pavam annan,Negative
Aakashatheku nokkunna ividuthe mama madyamangal🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,Negative
Aalavaan,Neutral
aaruparanju star aayennnu,Neutral
Aashan uyr🔥🤣,Positive
Achayan ayal ingane venam...,Positive
Adhavum ipo vaaku mati parayandh..,Neutral
Adi sakke athani P C,Positive
Adutha mizoram governor.Edukka charakkukal ellaam bjp lekku.,Neutral
Akrantha madhyama pravartakal,Negative
Amezone flipkart idine nishedikku Allade lulu alla,Neutral
Ammayude. Poottil. Ariyit. Kozhiyekond kothikkunnavan pc jorj,Negative
Anganayanengil malayalam channel myzuvanum adachu pootandi varum. Jahangipuriyil ambalam polichapoo kanichilaa polikatha palli polichu annu paranja parata vrindayaa channelukar kanichu,Neutral
Angane thanne venam... Njanjaayi,Neutral
Anganeyallallo parannadh malapurathu enthukond lulu mall undakunnilla avide muzhuvan muslimugalan,Neutral
Angott chennal mathi oppam ennum paranj pullikaran parayum poyi oppam cinema kanan,Neutral
Annu ayi givikunna oru nethavu 😴,Neutral
Anny raja is right keralam bharikuunnathu cpm alla bjp aane,Neutral
Anoda.. acho,Neutral
appapo maati parayunna onth george..innale paranja yusuf ali ipo alla..,Negative
Appol Ambanikum Adanikum TaTa Avark india Thiyaru Azhuthi koduthu,Neutral
Arasiyalil ithellam swabhavikam appa.,Neutral
Arengilum aa mic onn pidch kodkku 😂😂😂😂😂,Neutral
Asan Seennichu Poyi 😀 😀😀😀😀😀 Evide nari Sagi Pattigal 😂😂😂,Negative
Ath kond aanu caa nrc kond vannath 😁,Neutral
Ath pozhatharam akaruth ithu pole,Negative
Athane PC✌..pinaraayiye pole backil ninnulla kali alla nammude pc kke.parayanullath mughath noki parayum athipo yousuf ali alla ambani aayalum pc kk pullaane.💪💪💪💪💪💪,Positive
Athano ningada aalukal afghanistanil transfer vaangich pokunnath,Neutral
Athe shariya niyamam varanam nna pinne sudakkale aarum theri parayillallo,Neutral
"Athe, lokam parannath aanu enn paryumbole",Neutral
Athe....ithile commentolikalude commentukal thanne vayichal manassilakum ethratholam manassile vargeeyatha enn....ee keralathile muslimkal innum innaleyum thudangiyathalla kachavadam..Muslimkalude aharam kazhichit ethra alkkarkkan piller undakanje...,Neutral
Athentha sanghikal mathre ippa ariyaaharam kazhikkunnollo?,Neutral
Athey nj ari aaharam aan kazhikunne enik manasilaayilla....chankikal mathralla,Neutral
"athu independence totte angana, gandi trusty ship akanjath bhaghyam",Neutral
Athu pandu muthale anganaanallo,Neutral
Atum kerala pamma sree kittya usfaly ekkayye eganeokke parayamo do PC kerala pennugalkum anugalkum atraperka joli sare kodukkunnu,Neutral
"Avante My,,,,, arenkilum onnu pidikkeda",Negative
Avasaravadi pc,Negative
Avnte mic aarelum onnu pidikande,Neutral
Ayal ullathu paranju... Athre ullu.... Oralenkilum vende parayan...,Positive
Ayishari 😹🤌,Neutral
Ayyo vesham ottum illatha kora teams analoo shodara njammal,Negative
"ayyoo pavam.. muttil ilayuhayaanu.. Hinduvilum theevira vaathi undu, Cristiyaaniyulim theevravaathi undu, muslimilim theeviravaathi undu..vanthoka muthalaalikalukku ethiraanu angane Communist aaye. ithukondaanu PC Georgeine onthu ennu parayunnathu..",Neutral
Ayyyo enthu sivaneeee..Ivane aaraada sir n vilikyunnat ivane vilikendat vere aaaanu Ini ninak aaraado vot cheyyuva,Negative
Bayam.ellatha manushan,Neutral
bayangara needi aan nammude rajyatth nadakkunnad,Neutral
"Bevaregil polum aareyum budhimuttillilla,,,, ee channel naarikal enthokkeya ee parayunne",Negative
Bgm kudi indegil set😂🤣,Neutral
Bhayangara needhi,Neutral
Biriyani pazhamkaji ayathil chananalukalku nirasa,Neutral
"BJP yil ninn karyamayi entho offer und , pothu janam kazhutha , Rand niyamavum neethiyum aanu ee naatil ullath , voting right thanneyanu nammude ettavum valiya shapam",Neutral
But Keralathil ee paisa idukoolatto. 🤭🤭. Alde kadutha aagrehamkondanu. Enthanu vechal kendremandri 😂😂,Neutral
Cayane kakkatollayiram umma,Positive
Chankuttam ennal enthanennu theliyichu....,Positive
Chankuttam ulla manushyan pc jeorge sir full support 🔥,Positive
Chappathi kazhikunavarku manasilakumo???,Neutral
Cherukida kachavadakkarude kachodam pokanda ennu karuthiyittu paranjathanu paavam 😅😅,Neutral
chettakku Kendra mandriyavanan,Negative
Chettatharam paranjhitu puyaplaye kshanikumbole kondu pokanam ...alle mr,Negative
chirikkano karayano 🌝,Neutral
Chothichu vaangichu,Neutral
Christian voting kuranjho ldf n kityo,Neutral
"Churukki paranja, maryathakku adangi othungi jeevichonam, orumathiri koothara paripadiyumayi ineem theruvilirangaruth..ennu saram..",Neutral
comment section vaych nokku. ithanu ipo keralam potte india yude avastha.. manushyan maar aayi angotum ingotum kaanande ipo religion inite base il anu elarum swayam identify cheyana. sh,Neutral
Court inupolum ariyaam adheham parayunnath sariyaanennu.,Positive
Cristiyanikale payipikanam evidunnu hindukaleyum 🤣🤣🤣🤣🤣,Neutral
Dhikkari nonsense,Negative
Dhileepintea.kootukaaran,Neutral
Dileep case nte sradha maattan ulla strategical move anu pc george nte,Neutral
Dileepinu ennu aaswasam.onnu urangalo,Neutral
Do erattupetta poya diesel Paisa aaru kodukum,Neutral
E nare va turakkunn vendum,Negative
E nariyepolullavarude veruthe vidandu jayilil adakanam,Negative
E nayi paranjath shakthamaya vargiyatha ane ontea vappayano pinnea vargiyatha paranjath,Negative
E pinanari evanu thanthedom undo jihathikalke nera ethupola chaiyan athinu oruthanthake janichavan anangil chaithu kanikke athanu thanthakke pirana hindu nethave allathe kuttikoduthu jiveekkunavan nethave akuella athu hijadakal a peru polum athinu yojikkuella,Negative
Edo George than ethado jathi.hinduvo Christiano.atho Randinum piyachatho,Neutral
Edo tante krimi kedu enthanu ennu kerala samoohatinu aryaam,Negative
Eduthitu ponthanu randu charthathe kilavan BJP yilotu chadanulla vepralm,Neutral
Ee judge bjp karano,Neutral
Ee manorogiyodokke samsaarichitt enth karyam,Negative
Ee nayeentey Mon SAtyam paranjittondu,Negative
Ee nayintemon paranaariyan,Negative
Ee patra karu endoru akrandikal,Neutral
Ee polayadi money thalli kollum,Negative
Ee speech kelkathavar koodi search cheythu kettu.... Mothathil ipol ane... Communal issue ayathe...,Neutral
Eee nayike prandane,Negative
Eee pottan...pottan thannaa,Negative
Eivan thvravadiyanu,Negative
Ella mattipparayunnu. E manushyan,Neutral
Ella muslingalum theevravadyano cristyanilumund teevravadi Ella madathilumund our madathe mathram kutapedutharud Oru partykumvendathaningale eni angikarikkunna oru party und bjp Ella chappum chavarum und athil,Neutral
Ella Pakistan kaarum ond pc ne therim paranjond,Neutral
Ellaa mathathilum varga sneham kudiya chettakal und evattakale kond anubavikunnath paavam manushyaraanu,Neutral
Ellaavarum evane manassilaaakkunnathe nallathane,Neutral
Enaaa ethupole neethi bhavanaude kaaryathil onnu nokkikkoode pc parayumpol ellaam parayanamalloooo athum nokku penkuttikkum neethi kittatte,Neutral
Endhinaa veruthe oronn parayunne,Neutral
Endhoke mandatharama parayunne,Negative
Endu koppile niyamam anu ini kando ellarum thudagum igane,Neutral
Enne hero Akiya madhyamangalku nanni 😂,Positive
"Ennodu vilichu paranjal njn vann hajarakumayrunille?? Oho.. anganeyanelle ipo prathikale kondu pokunnath 😂 alla, iyal aaranu.. munb janaprathinidhi aayrunu.. ipo allaalo.. apo inganeyoke thanneya arrest indava.. . athinu sankapetitu karyamilla 😂",Neutral
Enta nadakkunatu,Neutral
Entamme- loka puluvadi veeran. Hi du sabha meetingil paranja karyangal onnu koodi kettittu ithu kette…. Eeswara manushyan inganem paranjathu valachodikkumo???? Aa nambo narayanante karyavum ithu pole aayirunnu,Neutral
Entanelum tenditaram aahn paranjath innale.,Negative
"Enth venelum aark venelum parayalo 😂😂😂😂😂😂😂😂, India alle",Neutral
Enthinaanu matham vechu veendum vidwesham prajaripikunnath????????,Neutral
Enthinanu verthiruv,Neutral
"Enthoru manushanado thaan , kashtam",Negative
"eppol.... kurach perkk joli kitti cheriya salaryode, kure perude business nastattilayi keralam pinneyum consumerilott kupp kutti",Negative
Ethe moshamalle sare,Negative
Ethrayo alkarku joliyum kodukkunnund lulu mall,Neutral
Ethreyullu. Ellam. Sadarana. Janagelku. Ullathanu. 😀😀😀,Neutral
Ethu endhu manushan,Neutral
Ethu paathiraathri vilichunarthiyaalum judjimaar kaanaappadam padichu parayunna oru vaakkayi maariyirikkunnu  Saakshikale swaadeenikkaruthu,Neutral
Etinulla shiksha daivam Tatum muslingale parannatin,Negative
Evane verudhe vidarudhu evarakkenu nadinde samadhanam elladhakkunnadhu,Negative
Evanentha parennath,Negative
Evani vattan😅😅,Negative
Evanokke endenkilum vilichu parayum ennittu ippo kidannu undakkunn abhipraya swathanthriyam,Neutral
Evanokke endum akaam para naari,Negative
Evante okke purake poi news undakkan kurach vanagal...shame on uuuu meadia,Negative
Evante swechadipatyam ennu theerumo aavo.,Negative
Evanu etra thandaya….,Negative
Everellam...yudhamunnaniyilek Purappedunnu....!!!!????,Neutral
Eyaale moottil yentjina. Mic pidicchu nadakkunne,Negative
eyaalkk veliv ella,Negative
Eyaalood Englishil chodikk nnne,Neutral
Eyal agane alla paranjath ath videoyil ind,Neutral
Eyal parayunna thery kelkkan ethra agrahamo channel karkke manapurvam eyal problem undakky entinanenne ellavarkkum ariyam..oru Christian aya than engane parayarutarunnu😞😞,Neutral
Eyalude Naku oke thazhnu oru edathu erikarayi,Negative
H m c ellam manusharlle,Neutral
